Words Cnts:  6713                        Number of Occurrences: 87734
bulging                                  frequency:4    
bull                                     frequency:2    
bulldog                                  frequency:1    
bullets                                  frequency:1    
bullfrog                                 frequency:1    
bullied                                  frequency:1    
bully                                    frequency:1    
bulstrode                                frequency:8    
bump                                     frequency:1    
bun                                      frequency:1    
bunch                                    frequency:1    
bundle                                   frequency:1    
bundles                                  frequency:1    
buoyant                                  frequency:2    
buried                                   frequency:2    
burkes                                   frequency:2    
burly                                    frequency:1    
burn                                     frequency:1    
burned                                   frequency:9    
burning                                  frequency:7    
burnished                                frequency:1    
burnt                                    frequency:2    
burp                                     frequency:2    
burped                                   frequency:1    
burrow                                   frequency:5    
burrowcontents                           frequency:1    
burst                                    frequency:21   
bursting                                 frequency:2    
burying                                  frequency:1    
bus                                      frequency:1    
bush                                     frequency:4    
bushy                                    frequency:2    
busied                                   frequency:2    
business                                 frequency:13   
bustle                                   frequency:2    
bustled                                  frequency:1    
bustling                                 frequency:2    
busy                                     frequency:6    
but                                      frequency:474  
butt                                     frequency:1    
butted                                   frequency:1    
butter                                   frequency:2    
butterflies                              frequency:1    
buttering                                frequency:1    
button                                   frequency:3    
buttons                                  frequency:1    
buy                                      frequency:14   
buying                                   frequency:3    
buzzing                                  frequency:1    
by                                       frequency:181  
bye                                      frequency:6    
c                                        frequency:15   
cabbage                                  frequency:1    
